external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
k3s,24,online_counter_guard_rank_aware_sparse_flexible,15.77428654686481,17.681147599955647,8.175056046859147,10.541532599950095,2.400806245349702,8.65625,1.0,0.6713689687564797,5.656964749988398,0.044928,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,-0.3002079471277746
k3s,24,online_counter_guard_deadline_aware_sparse_flexible,15.867478437506529,17.770330100006454,8.096032515616916,10.21018715001664,2.360499790736607,9.0625,1.0,0.6432970937523875,5.709324781264461,0.04563,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,-0.892765080065634
k3s,24,rltune_style_selector,12.792626156254936,14.83083234993498,7.633691593749551,8.81985049999223,1.2377086821056547,2.546875,1.0,0.7938648125075953,4.605245453124188,0.031083,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",18.6585675459752
k3s,24,sailor_style_heterogeneity_aware,12.380392328104458,13.313868299962886,7.992017359363449,8.851961149991839,1.0,0.0,1.0,0.8424822656145157,4.317365656248694,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,21.27974084363863
k3s,8,speed_aware_uncoded,29.103582874981228,54.66008724998797,27.467931781231375,52.82377715000164,1.0,0.0,1.0,0.4524318906255531,1.585532921875858,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,-27.961036638009563
k3s,8,speculative_replication,30.30313940625357,57.69809909992315,28.670374093756784,56.02797895002139,1.0,0.0,1.0,0.44373968749407033,1.585287765632111,0.019968,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication,-33.23518099016273
k3s,8,sparse_flexible_static,22.761022499981415,59.74022905005531,19.330563843727283,56.65897784991776,2.5446283249627974,0.46875,1.0,0.453688187519625,1.6687319531065266,0.022503,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,-0.07441511754282501
k3s,8,original_sfcl_static,22.744097453127615,60.31690810000323,19.303444515621443,56.95955104993111,2.5387050083705356,0.4375,1.0,0.4518514374893343,1.6883321093849688,0.022386,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
k3s,8,worker_aware_sparse_flexible,28.328654374995164,53.9307010000356,25.021993171861773,51.01349735006115,2.6590634300595237,0.515625,1.0,0.4475795937465922,1.6834878906024173,0.023478,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,-24.55387351982876
k3s,8,rank_aware_sparse_flexible,28.32745139061993,55.555530099877515,24.74866248436309,51.490372700015875,2.5453520275297614,0.453125,1.0,0.4438212187593703,1.6537287499857658,0.022659,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,-24.54858430412032
k3s,8,deadline_aware_sparse_flexible,28.329826265608155,55.4958215000055,24.748500640605137,51.3178744999322,2.5256202334449402,0.515625,1.0,0.4677174531195281,1.667018281246111,0.022659,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,-24.55902602418909
k3s,8,system_portfolio,26.785060046865485,51.19079055003789,24.05178448437435,49.46503140010912,1.8008713495163688,0.296875,1.0,0.4715598281243672,1.635343984378983,0.021216,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,-17.767082655470173
k3s,8,guarded_system_portfolio,19.60591481250513,41.984733499998576,16.305967062496713,40.12058375006965,2.1834862118675593,0.40625,1.0,0.4606689531278563,1.6860359375030032,0.020904,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,13.797789281767889
k3s,8,online_counter_guard_rank_aware_sparse_flexible,20.30832196874495,48.318568299964646,16.780878515632438,44.86050420011901,2.370901925223214,0.53125,1.0,0.4539571093821797,1.6791362343865939,0.021372,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,10.70948402943866
k3s,8,online_counter_guard_deadline_aware_sparse_flexible,20.29140321874573,48.16008039982755,16.802016953139496,44.724397449999664,2.370811825706845,0.515625,1.0,0.49937798438644376,1.6756777499828357,0.021333,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,10.783871461316684
k3s,8,rltune_style_selector,27.98844209374702,55.520107900065284,26.226554203116542,53.928449849990976,1.0765235537574405,0.0,1.0,0.4367980312486953,1.6022465000168968,0.019851,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-23.058046824796026
k3s,8,sailor_style_heterogeneity_aware,29.021239578121033,54.36886710002679,27.371844046896804,52.720429500118286,1.0,0.0,1.0,0.46130490623847026,1.6019205937566952,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,-27.598994147513324
