external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
network_stress,24,43,rltune_style_selector,58.20688752282872,37.03406586538089,36.762925039511046,36.762925039511046,0.3678569485216374,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,43,sailor_style_heterogeneity_aware,58.28088750422461,31.628377345462827,40.20923751522778,40.20923751522778,0.30504988069852823,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,43,guarded_system_portfolio,51.21618753764774,30.394751095908372,33.681637520203275,33.681637520203275,0.33945457180191174,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,43,online_counter_guard_deadline_aware_sparse_flexible,54.76337498112111,54.76337498112111,32.54506248049429,32.54506248049429,0.3959461353111383,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,53,original_sfcl_static,55.3872625168878,55.3872625168878,37.80966253543728,37.80966253543728,0.29773465344144506,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,53,rltune_style_selector,56.70439997629721,37.354142657918686,36.2202375108608,36.2202375108608,0.3652026842926448,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,53,sailor_style_heterogeneity_aware,56.553025002358424,31.06786637876833,35.917912464355965,35.917912464355965,0.37455917163675195,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,53,guarded_system_portfolio,57.73362498439377,29.956574042269995,35.645625015604224,35.645625015604224,0.38340405605839334,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,53,online_counter_guard_deadline_aware_sparse_flexible,56.31689997971985,56.31689997971985,32.30135000194414,32.30135000194414,0.43132863577276903,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,24,7,original_sfcl_static,83.32221250748258,79.77442903187612,46.99537502892771,46.99537502892771,0.425397099923932,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,24,7,rltune_style_selector,140.9179124893853,78.94828840579534,79.60130002174984,79.60130002174984,0.428656346747307,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,24,7,sailor_style_heterogeneity_aware,65.21282500762022,34.55368295658154,42.37281247333146,42.37281247333146,0.34669100894842886,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,24,7,guarded_system_portfolio,57.07964996690856,30.85785646429208,36.14872496109443,36.14872496109443,0.35224635713260843,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,24,7,online_counter_guard_deadline_aware_sparse_flexible,51.34218750754366,51.34218750754366,33.6640625464496,33.6640625464496,0.3329306360464396,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,11,original_sfcl_static,42.3370125063229,31.204302004797512,30.4471374984131,30.4471374984131,0.24822246120158548,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,11,rltune_style_selector,50.002287491224635,32.099465126745436,36.182212497806084,36.182212497806084,0.27122781596998496,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,11,sailor_style_heterogeneity_aware,52.74565002764571,34.01545251416347,41.169212505337676,41.169212505337676,0.23240416586629228,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,11,guarded_system_portfolio,39.947274999576585,28.56603180420197,30.08436248637725,30.08436248637725,0.19820252594398738,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,11,online_counter_guard_deadline_aware_sparse_flexible,47.38526247092518,31.87257248577872,32.843162494827865,32.843162494827865,0.2772068236608078,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,17,original_sfcl_static,50.147000001743386,37.46184807268346,39.8887249757535,39.8887249757535,0.2030380583455031,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,17,rltune_style_selector,51.0358750034356,32.666975249581,38.93347503617399,38.93347503617399,0.24050180271344496,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,17,sailor_style_heterogeneity_aware,51.945262486697125,31.651137472643807,37.383612478151825,37.383612478151825,0.28717136677610294,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,17,guarded_system_portfolio,46.18901250069024,35.367766058699196,36.23592501389785,36.16476251045232,0.20978805775171397,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,17,online_counter_guard_deadline_aware_sparse_flexible,57.48006248904852,39.43063807920145,39.64907496992955,39.6446124650537,0.3158831958604692,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,23,original_sfcl_static,51.92994997196362,37.72876010536126,38.42494993295978,38.42494993295978,0.25627699416613914,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,23,rltune_style_selector,59.454200003528925,36.70634854903408,47.318174954852935,47.318174954852935,0.19117018290788376,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,23,sailor_style_heterogeneity_aware,55.04058749647806,38.84330123030248,47.73862499860109,47.73862499860109,0.13984167295128125,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,23,guarded_system_portfolio,49.27108749689065,36.194389172167064,35.23082498577416,35.23082498577416,0.27724337483592126,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,23,online_counter_guard_deadline_aware_sparse_flexible,42.94568748446175,33.191596713606984,32.86417499475636,32.86417499475636,0.2046656433381743,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,31,original_sfcl_static,41.859337492496664,33.4667060360108,30.5786750104743,30.5786750104743,0.24164593414282917,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,31,rltune_style_selector,46.04267503600562,31.62863495648626,38.272487508947876,38.272487508947876,0.15060295757436412,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,31,sailor_style_heterogeneity_aware,57.36683751456435,34.636385627695844,41.991549980593724,41.991549980593724,0.2685270631585092,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,31,guarded_system_portfolio,46.65903749992136,32.95667432532743,33.39543749461871,33.39543749461871,0.2632546590705414,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,31,online_counter_guard_deadline_aware_sparse_flexible,41.724349997821214,34.112344046215284,30.953174980822848,30.953174980822848,0.24115626468392853,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,37,original_sfcl_static,46.04652499256185,35.04613027656157,36.170062478049545,36.170062478049545,0.21639688195559173,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,37,rltune_style_selector,65.73772497358728,38.48843691711639,49.07816252671172,49.07816252671172,0.24961885958552116,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,37,sailor_style_heterogeneity_aware,60.26097503490741,37.18975142818192,46.906975025194626,46.906975025194626,0.22603625982718636,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,37,guarded_system_portfolio,50.2736250055022,32.82401652149301,39.08266249345605,39.08266249345605,0.19059097795274,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,8,37,online_counter_guard_deadline_aware_sparse_flexible,46.59566251211795,37.084675534789426,36.14732502319374,36.14732502319374,0.2073585540131356,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,8,43,original_sfcl_static,47.70018749695731,33.1256313287818,33.14932504144952,33.14932504144952,0.2806539390120184,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,8,43,rltune_style_selector,55.64843749743882,32.544706510551634,35.41391243925306,35.41391243925306,0.37322401211962186,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,8,43,sailor_style_heterogeneity_aware,57.45133751770477,36.59008625185999,45.71891250088801,45.71891250088801,0.19188194139166578,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,8,43,guarded_system_portfolio,52.6967875048285,37.17315077242785,36.80876251019061,36.80876251019061,0.3061934868806536,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
